,origin,bar_name,cocoa_%,ingredients,review,rating
178,Madagascar,"Bejofo E., Akesson, lot MA72820",72.0,"4- B,S,C,L","strawberry, sour",3.25
179,Tanzania,"Kokoa Kamili, lot TZ72199",72.0,"4- B,S,C,L","caramel, sour milk",3.5
180,Mexico,Xoconusco,75.0,"2- B,S","leather, black licorice, off",2.5
181,Ecuador,San Jose del Tambo,70.0,"2- B,S","smooth, astringent, cocoa",3.0
182,Philippines,Davao,77.0,"2- B,S","strawberries, mild tart, roasty",3.75
183,Tanzania,"Tenende, Uwate",72.0,"2- B,S","creamy, woody, cocoa",3.75
184,Honduras,Cortes,70.0,"2- B,S","grapes, woody, roasty",3.75
185,Tanzania,Mababa,68.0,"3- B,S,C","creamy, rich, blueberry",3.75
186,Solomon Islands,Solomon Islands,70.0,"4- B,S,C,L","off aroma,vegetal,honey,sandy",3.0
187,Philippines,Davao,77.0,"4- B,S,V,L","sandy, vanilla",2.75
188,Philippines,"Paquibao E., 2016",70.0,"3- B,S,C","waxy, dried fruit",3.0
189,Philippines,South Cotabato,70.0,"3- B,S,C","sandy, roasty, nutty",3.0
190,Philippines,"Saloy E., 2016",70.0,"3- B,S,C","long, bright fruit, sweet, sour",3.5
191,Colombia,Tumaco,70.0,"2- B,S","chemical, spice, earthy",2.5
192,Dominican Republic,Zorzal,70.0,"2- B,S","intense, sour tart plum, rubber",3.0
193,Madagascar,Sambirano,70.0,"2- B,S","unrefined, flat, grassy",3.0
194,Brazil,Bahia,70.0,"2- B,S","chalky, intense, chemical",2.5
195,Blend,Houseblend,70.0,"2- B,S","chalky, fragrant, then off",2.5
196,Blend,Houseblend,80.0,"2- B,S","coarse, smokey, metallic",3.25
197,Papua New Guinea,Papua New Guinea,70.0,"2- B,S","smoke, ham, papaya",3.5
198,Brazil,"Bahia, Vale Potumujo",70.0,"2- B,S","bland, sugary, large grits",3.0
199,Peru,"Bambamarca, 2015",70.0,"3- B,S,C","molasses, caramel, pungent",2.75
200,Peru,"Huallabamba, 2015",70.0,"3- B,S,C","black pepper, cardamom",3.5
201,Belize,Belize,72.0,"3- B,S,C","gritty, fatty, sour, off",2.5
202,Uganda,Uganda,82.0,"3- B,S,C","bitter, fatty, mild fruit",2.75
203,Tanzania,Kokoa Kamili,72.0,"3- B,S,C","base cocoa, mild fruit, roasty",3.25
204,Dominican Republic,Duarte Province,70.0,"2- B,S","complex,black pepper,coffee",3.25
205,Mexico,Chiapas,70.0,"2- B,S","molasses,toffee,coffee grounds",3.5
206,Madagascar,Sambirano,70.0,"2- B,S","raspberry, mild sour",3.75
207,Peru,Maranon Canyon,70.0,"2- B,S","creamy, rounded, orange",4.0
208,Brazil,Bahia,70.0,"2- B,S","intense, smokey, dried fruit",3.5
209,Costa Rica,"Turrialba, Cartago P.",72.0,"2- B,S","slightly dry, cocoa, berry",3.5
210,Trinidad,Montserrat Hills,80.0,"2- B,S","intense, tangy, alcohol",3.5
211,Costa Rica,single estate,80.0,"4- B,S,C,V","gritty, floral, vanilla",2.75
212,Guatemala,"Rio Dulce, Xoco, batch 632",65.0,"3- B,S,C","sweet, honey, earthy, cocoa",3.25
213,Dominican Republic,"Dominican Republic, Batch 3",65.0,"3- B,S,C","creamy, sweet, fudgey",3.5
214,Brazil,Brazil,70.0,"3- B,S,C","strawberry, candy flavor",3.75
215,Ecuador,Ecuador,65.0,"3- B,S,C","sandy, floral, sweet",3.25
216,Peru,Peru,70.0,"4- B,S,C,V","strong vanilla, off notes",2.25
217,Malaysia,"Asajaya E, NW Borneo, b. #132/4500",73.0,"3- B,S,C","caramel, spice, earthy",3.0
218,Malaysia,"Serian E., NW Borneo, b. #134/3800",72.0,"3- B,S,C","smokey, woody, tobacco",3.25
219,Brazil,"Brazil, Batch 20316",80.0,"3- B,S,C","intense, bitter, dry",2.75
220,Dominican Republic,"Dominican Republic, Batch 31616",70.0,"3- B,S,C","sandy, sweet, molasses",2.75
221,Ecuador,"Ecuador, Batch 31516",70.0,"3- B,S,C","intense, floral, black pepper",2.75
222,Ecuador,Ecuador,90.0,"3- B,S,C","intense floral, bitter, earthy",2.75
223,Costa Rica,Costa Rica,64.0,"4- B,S,C,L","pastey, nutty",2.75
224,Papua New Guinea,Papua New Guinea,64.0,"4- B,S,C,L","intense, smokey",2.75
225,Peru,Peru,64.0,"4- B,S,C,L","sticky, moss, nuts",2.75
226,Ecuador,Ecuador,71.0,"4- B,S,C,L","dry, cinamon, nutmeg",3.5
227,Tanzania,"Kokao Kamili, Kilombero Valley",70.0,"3- B,S,C","sticky, delicate, melon",3.5
228,Bolivia,"Alto Beni, Palos Blanco",70.0,"3- B,S,C","oily, complex, pungent",3.25
229,Dominican Republic,"Oko Caribe, Duarte P.",70.0,"2- B,S","caramel, mild dried fruit",3.5
230,Vietnam,Lam Dong,75.0,"3- B,S,C","high acidity, nutty, roasty",3.25
231,Vietnam,"Ben Tre, batch 70301",70.0,"3- B,S,C",dominate cocoa notes,3.75
232,Belize,"Belize south, low fermentation",83.0,"3- B,S,C","unbalanced, tangy, pungent",2.75
233,Belize,Belize south,78.0,"3- B,S,C","sweet, nibby, green",3.0
234,Belize,Belize south,83.0,"3- B,S,C","balanced, complex, berry",3.5
235,Vietnam,Vung Tau,72.0,"4- B,S,C,L","gummy, roasty, fatty",3.0
236,India,"Anamalai, 2018 harvest",72.0,"4- B,S,C,L","gummy, fatty, sour",3.0
237,Malaysia,"Sungai Ruan, Koh Farm",72.0,"4- B,S,C,L","off aroma, smokey, off note",3.0
238,Indonesia,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",72.0,"3- B,S,C","smokey, raspberries, cocoa",4.0
239,Madagascar,"Somia Plantation, Sambirano, 70hr C",72.0,"3- B,S,C","intense,red berry,strawberry",3.75
240,Cuba,Baracoa,74.0,"3- B,S,C","tobacco, dairy, sour",3.5
241,Venezuela,Cuyagua Village,74.0,"3- B,S,C","nutty, roasty, dairy",3.5
242,Venezuela,Chuao,74.0,"3- B,S,C","mocha, intense, sweet",3.5
243,Ecuador,Rio Peripa H.,73.0,"3- B,S,C",cinamon and nutmeg,4.0
244,Ecuador,"Hacienda Victoria, lot 42",73.0,"4- B,S,C,L","floral, melon, spicy",3.5
245,Venezuela,"Finca Orquidea, Porcelana, lot 5",74.0,"4- B,S,C,L","delicate, nutty, caramel, sl. Off",3.0
246,Blend,Nature,55.0,"5- B,S,C,V,L","sweet, vanilla, cocoa",2.75
247,Venezuela,"Carenero S., Barlovento, Grand Cru",70.0,"3- B,S,C","creamy, macadamia, pepper",3.25
248,Venezuela,"Porcelana, Premier Cru, Quizas No. 1",74.0,"3- B,S,C","nutty, light toffee, mild musty",3.25
249,Indonesia,"Java, Grand Cru",64.0,"3- B,S,C","ham-like, smokey, banana",3.5
250,Venezuela,"Ocumare, Premier Cru, Quizas No. 2",72.0,"3- B,S,C","dark cocoa, spicy pepper",3.5
251,Madagascar,Madagascar,64.0,"3- B,S,C","chunky, nutty, banana",3.0
252,Venezuela,Maracaibo,88.0,"3- B,S,C","bitter then nutty rustic, earthy",3.0
253,Venezuela,"Indigena Amazonia, Grand Cru, Quizas",72.0,"3- B,S,C","creamy, banana, rich",3.5
254,Ecuador,Ecuador,72.0,"3- B,S,C","creamy, nutty, cocoa",4.0
255,Nicaragua,"Nicaragua, American style",76.0,"2- B,S","bitter, molasses, flour",2.5
256,Costa Rica,"San Andres, American style",76.0,"2- B,S","molasses, metallic, earthy",2.5
257,Costa Rica,"San Andres, silk",78.0,"4- B,S,C,V","sour, tart, molasses",2.5
258,Belize,Belize,86.0,"4- B,S,C,V","mild bitter, diluted, vanilla",3.25
259,Venezuela,Aragua,70.0,"4- B,S,C,L","smooth texture, earthy, nutty",3.5
260,Venezuela,Merida,70.0,"4- B,S,C,L","gritty, spicy, earthy",3.0
261,Venezuela,Carabobo,70.0,"4- B,S,C,L","fatty, bland, nutty",3.0
262,Madagascar,Sambirano,71.0,"2- B,S","rich cocoa, red berry, sour",3.0
263,Panama,Bocas del Toro,75.0,"2- B,S","intense, rum, tea",3.5
264,Dominican Republic,Puerto Plata,68.0,"2- B,S","nutty, astringent",3.75
265,Ghana,Ankasa,70.0,"2- B,S","nutmeg, sour",3.0
