,REF,bar_name,company,cocoa_%,ingredients,rating
113,572,"Monte Alegre, 3 diff. plantations",AMMA,75.0,"4- B,S,C,L",3.75
114,572,"Monte Alegre, 3 diff. plantations",AMMA,60.0,"4- B,S,C,L",4.0
115,1065,Catongo,AMMA,75.0,"4- B,S,C,L",3.25
116,1259,Elvesia,Anahata,75.0,"2- B,S",3.0
117,1852,Alto Beni,Animas,75.0,"2- B,S",3.5
118,2586,"Maya Mountain, batch 39",Animas,75.0,"2- B,S",3.0
119,2586,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243",Animas,75.0,"2- B,S",3.25
120,1375,Madagascar,Ara,75.0,"3- B,S,C",3.0
121,1379,Chiapas,Ara,72.0,"3- B,S,C",2.5
122,1379,Equateur,Ara,75.0,"3- B,S,C",2.75
123,1379,Trincheras,Ara,75.0,"3- B,S,C",3.0
124,1534,Fazenda Camboa,Arete,70.0,"2- B,S",3.5
125,1534,Nacional,Arete,68.0,"2- B,S",3.5
126,1534,"Puerto Quito, heirloom",Arete,70.0,"2- B,S",3.75
127,1598,Oko Caribe,Arete,70.0,"2- B,S",3.5
128,1598,Maya Mountain,Arete,70.0,"2- B,S",3.75
129,1598,Chuno,Arete,70.0,"2- B,S",4.0
130,1602,Fazenda Camboa,Arete,75.0,"2- B,S",2.75
131,1602,Guatemala,Arete,70.0,"2- B,S",3.25
132,1602,Camino Verde,Arete,75.0,"3- B,S,C",3.5
133,1724,San Juan,Arete,70.0,"2- B,S",3.5
134,1724,Kokoa Kamili,Arete,70.0,"2- B,S",3.75
135,1900,Tien Giang,Arete,73.0,"3- B,S,C",3.5
136,1904,Hacienda Victoria,Arete,70.0,"3- B,S,C",3.25
137,1904,Costa Esmeraldas,Arete,70.0,"3- B,S,C",3.25
138,1904,Lachua,Arete,70.0,"2- B,S",3.5
139,1904,Rugoso,Arete,70.0,"3- B,S,C",3.75
140,1908,"La Masica, FHIA",Arete,70.0,"2- B,S",3.5
141,1908,"Coto Brus, Terciopelo",Arete,70.0,"2- B,S",4.0
142,1924,Phantom,Arete,70.0,"2- B,S",4.0
143,1928,Matasawalevu,Arete,70.0,"2- B,S",3.25
144,1928,Lam Dong,Arete,73.0,"2- B,S",3.25
145,1928,Elvesia,Arete,70.0,"2- B,S",3.75
146,2020,Anamalai,Arete,70.0,"2- B,S",3.5
147,2020,Sambirano Valley,Arete,70.0,"3- B,S,C",3.5
148,2020,Ben Tre,Arete,73.0,"3- B,S,C",3.5
149,2024,Beniano,Arete,70.0,"2- B,S",4.0
150,2028,Ucayali,Arete,70.0,"3- B,S,C",3.5
151,2028,Pisa,Arete,70.0,"2- B,S",4.0
152,2068,Ramnath E.,Arete,70.0,"2- B,S",3.0
153,2254,Tumaco,Arete,70.0,"2- B,S",4.0
154,2330,Jangareddygudem,Arete,70.0,"3- B,S,C",3.25
155,2450,Idukki,Arete,70.0,"3- B,S,C",3.0
156,2162,Masaya,Argencove,70.0,"2- B,S",3.25
157,2162,Mombacho,Argencove,70.0,"2- B,S",3.5
158,2162,Cocibolca,Argencove,70.0,"2- B,S",3.5
159,2166,Apoyo,Argencove,70.0,"2- B,S",3.0
160,300,Congo,Artisan du Chocolat,72.0,"3- B,S,C",3.75
161,355,"Ocumare, Venezuela",Artisan du Chocolat,75.0,"3- B,S,C",2.5
162,355,Java,Artisan du Chocolat,72.0,"3- B,S,C",2.75
163,363,Brazil Rio Doce,Artisan du Chocolat,72.0,"3- B,S,C",1.75
164,363,Madagascar,Artisan du Chocolat,80.0,"3- B,S,C",3.0
165,363,Peru,Artisan du Chocolat,75.0,"3- B,S,C",3.0
166,363,Dominican Republic,Artisan du Chocolat,72.0,"3- B,S,C",3.25
167,486,Venezuela,Artisan du Chocolat,100.0,"3- B,S,C",1.75
168,531,Jamaica,Artisan du Chocolat,72.0,"3- B,S,C",3.75
169,600,Costa Rica,Artisan du Chocolat,72.0,"3- B,S,C",3.25
170,600,Ba Ria Vung Tau Province,Artisan du Chocolat,72.0,"3- B,S,C",3.25
171,600,Bali,Artisan du Chocolat,72.0,"3- B,S,C",3.5
172,729,Haiti,Artisan du Chocolat,72.0,"3- B,S,C",4.0
173,745,Panama,Artisan du Chocolat,72.0,"3- B,S,C",2.75
174,947,"Colombia, Casa Luker",Artisan du Chocolat,72.0,"3- B,S,C",3.75
175,1193,"Trinidad, Heritage, Limited ed.",Artisan du Chocolat,72.0,"3- B,S,C",3.25
176,1181,"Orinoqua Region, Arauca",Artisan du Chocolat (Casa Luker),72.0,"4- B,S,C,L",2.75
177,2562,"Idukki Kerala, lot IN728221",Aruntam,72.0,"4- B,S,C,L",3.25
178,2562,"Bejofo E., Akesson, lot MA72820",Aruntam,72.0,"4- B,S,C,L",3.25
179,2566,"Kokoa Kamili, lot TZ72199",Aruntam,72.0,"4- B,S,C,L",3.5
180,141,Xoconusco,Askinosie,75.0,"2- B,S",2.5
181,175,San Jose del Tambo,Askinosie,70.0,"2- B,S",3.0
182,331,Davao,Askinosie,77.0,"2- B,S",3.75
183,647,"Tenende, Uwate",Askinosie,72.0,"2- B,S",3.75
184,661,Cortes,Askinosie,70.0,"2- B,S",3.75
185,1780,Mababa,Askinosie,68.0,"3- B,S,C",3.75
186,2434,Solomon Islands,Atypic,70.0,"4- B,S,C,L",3.0
187,2056,Davao,Auro,77.0,"4- B,S,V,L",2.75
188,2056,"Paquibao E., 2016",Auro,70.0,"3- B,S,C",3.0
189,2056,South Cotabato,Auro,70.0,"3- B,S,C",3.0
190,2056,"Saloy E., 2016",Auro,70.0,"3- B,S,C",3.5
191,2672,Tumaco,Avanaa,70.0,"2- B,S",2.5
192,2672,Zorzal,Avanaa,70.0,"2- B,S",3.0
193,995,Sambirano,Bahen & Co.,70.0,"2- B,S",3.0
194,999,Bahia,Bahen & Co.,70.0,"2- B,S",2.5
195,999,Houseblend,Bahen & Co.,70.0,"2- B,S",2.5
196,1474,Houseblend,Bahen & Co.,80.0,"2- B,S",3.25
197,1474,Papua New Guinea,Bahen & Co.,70.0,"2- B,S",3.5
198,2146,"Bahia, Vale Potumujo",Baiani,70.0,"2- B,S",3.0
199,1454,"Bambamarca, 2015",Bakau,70.0,"3- B,S,C",2.75
200,1454,"Huallabamba, 2015",Bakau,70.0,"3- B,S,C",3.5
201,2290,Belize,Bankston,72.0,"3- B,S,C",2.5
202,2294,Uganda,Bankston,82.0,"3- B,S,C",2.75
203,2294,Kokoa Kamili,Bankston,72.0,"3- B,S,C",3.25
204,983,Duarte Province,Bar Au Chocolat,70.0,"2- B,S",3.25
205,983,Chiapas,Bar Au Chocolat,70.0,"2- B,S",3.5
206,983,Sambirano,Bar Au Chocolat,70.0,"2- B,S",3.75
207,1295,Maranon Canyon,Bar Au Chocolat,70.0,"2- B,S",4.0
208,1554,Bahia,Bar Au Chocolat,70.0,"2- B,S",3.5
209,1980,"Turrialba, Cartago P.",Bar Au Chocolat,72.0,"2- B,S",3.5
210,1980,Montserrat Hills,Bar Au Chocolat,80.0,"2- B,S",3.5
211,955,single estate,Baravelli's,80.0,"4- B,S,C,V",2.75
212,2736,"Rio Dulce, Xoco, batch 632",Bare Bones,65.0,"3- B,S,C",3.25
213,1840,"Dominican Republic, Batch 3",Batch,65.0,"3- B,S,C",3.5
214,1868,Brazil,Batch,70.0,"3- B,S,C",3.75
215,1880,Ecuador,Batch,65.0,"3- B,S,C",3.25
216,2374,Peru,Bean,70.0,"4- B,S,C,V",2.25
217,1948,"Asajaya E, NW Borneo, b. #132/4500",Beau Cacao,73.0,"3- B,S,C",3.0
218,1948,"Serian E., NW Borneo, b. #134/3800",Beau Cacao,72.0,"3- B,S,C",3.25
219,1784,"Brazil, Batch 20316",Beehive,80.0,"3- B,S,C",2.75
220,1784,"Dominican Republic, Batch 31616",Beehive,70.0,"3- B,S,C",2.75
221,1784,"Ecuador, Batch 31516",Beehive,70.0,"3- B,S,C",2.75
222,1788,Ecuador,Beehive,90.0,"3- B,S,C",2.75
223,586,Costa Rica,Belcolade,64.0,"4- B,S,C,L",2.75
224,586,Papua New Guinea,Belcolade,64.0,"4- B,S,C,L",2.75
225,586,Peru,Belcolade,64.0,"4- B,S,C,L",2.75
226,586,Ecuador,Belcolade,71.0,"4- B,S,C,L",3.5
227,1800,"Kokao Kamili, Kilombero Valley",Bellflower,70.0,"3- B,S,C",3.5
228,1804,"Alto Beni, Palos Blanco",Bellflower,70.0,"3- B,S,C",3.25
229,1864,"Oko Caribe, Duarte P.",Bellflower,70.0,"2- B,S",3.5
230,2190,Lam Dong,Belvie,75.0,"3- B,S,C",3.25
231,2648,"Ben Tre, batch 70301",Belvie,70.0,"3- B,S,C",3.75
232,1768,"Belize south, low fermentation",Belyzium,83.0,"3- B,S,C",2.75
233,1768,Belize south,Belyzium,78.0,"3- B,S,C",3.0
234,1768,Belize south,Belyzium,83.0,"3- B,S,C",3.5
235,2246,Vung Tau,Benns,72.0,"4- B,S,C,L",3.0
236,2246,"Anamalai, 2018 harvest",Benns,72.0,"4- B,S,C,L",3.0
237,2246,"Sungai Ruan, Koh Farm",Benns,72.0,"4- B,S,C,L",3.0
238,757,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",Benoit Nihant,72.0,"3- B,S,C",4.0
239,773,"Somia Plantation, Sambirano, 70hr C",Benoit Nihant,72.0,"3- B,S,C",3.75
240,1141,Baracoa,Benoit Nihant,74.0,"3- B,S,C",3.5
241,1141,Cuyagua Village,Benoit Nihant,74.0,"3- B,S,C",3.5
242,1141,Chuao,Benoit Nihant,74.0,"3- B,S,C",3.5
243,1141,Rio Peripa H.,Benoit Nihant,73.0,"3- B,S,C",4.0
244,2744,"Hacienda Victoria, lot 42",Benoit Nihant,73.0,"4- B,S,C,L",3.5
245,2744,"Finca Orquidea, Porcelana, lot 5",Benoit Nihant,74.0,"4- B,S,C,L",3.0
246,797,Nature,Bernachon,55.0,"5- B,S,C,V,L",2.75
247,508,"Carenero S., Barlovento, Grand Cru",Beschle (Felchlin),70.0,"3- B,S,C",3.25
248,508,"Porcelana, Premier Cru, Quizas No. 1",Beschle (Felchlin),74.0,"3- B,S,C",3.25
249,508,"Java, Grand Cru",Beschle (Felchlin),64.0,"3- B,S,C",3.5
250,508,"Ocumare, Premier Cru, Quizas No. 2",Beschle (Felchlin),72.0,"3- B,S,C",3.5
251,636,Madagascar,Beschle (Felchlin),64.0,"3- B,S,C",3.0
252,636,Maracaibo,Beschle (Felchlin),88.0,"3- B,S,C",3.0
253,636,"Indigena Amazonia, Grand Cru, Quizas",Beschle (Felchlin),72.0,"3- B,S,C",3.5
254,636,Ecuador,Beschle (Felchlin),72.0,"3- B,S,C",4.0
255,1482,"Nicaragua, American style",Bisou,76.0,"2- B,S",2.5
256,1486,"San Andres, American style",Bisou,76.0,"2- B,S",2.5
257,1486,"San Andres, silk",Bisou,78.0,"4- B,S,C,V",2.5
258,1486,Belize,Bisou,86.0,"4- B,S,C,V",3.25
259,2084,Aragua,Bitacora,70.0,"4- B,S,C,L",3.5
260,2088,Merida,Bitacora,70.0,"4- B,S,C,L",3.0
261,2088,Carabobo,Bitacora,70.0,"4- B,S,C,L",3.0
262,233,Sambirano,Bittersweet Origins,71.0,"2- B,S",3.0
263,233,Bocas del Toro,Bittersweet Origins,75.0,"2- B,S",3.5
264,233,Puerto Plata,Bittersweet Origins,68.0,"2- B,S",3.75
265,256,Ankasa,Bittersweet Origins,70.0,"2- B,S",3.0
266,414,Puerto Plata,Bittersweet Origins,75.0,"2- B,S",3.0
267,414,Puerto Plata,Bittersweet Origins,65.0,"2- B,S",3.5
268,423,Sambirano,Bittersweet Origins,75.0,"2- B,S",3.25
269,431,Sambirano,Bittersweet Origins,65.0,"2- B,S",3.5
270,478,"Bali, Singaraja",Bittersweet Origins,75.0,"2- B,S",3.25
271,502,"2009 Hapa Nibby, Dominican Rep., Bali",Bittersweet Origins,70.0,"2- B,S",3.75
272,558,"Bali, Singaraja",Bittersweet Origins,65.0,"2- B,S",2.75
273,565,"Sambirano, 2009",Bittersweet Origins,70.0,"2- B,S",3.0
274,565,"Ocumare, prototype",Bittersweet Origins,78.0,"2- B,S",3.0
275,963,Ghana,Bittersweet Origins,72.0,"3- B,S,C",3.5
276,2108,Haiti,Bixby,70.0,"2- B,S",3.0
277,2114,Guatemala,Bixby,70.0,"2- B,S",3.0
278,2114,Dominican Republic,Bixby,70.0,"2- B,S",3.25
279,2422,Belize,Bixby,70.0,"2- B,S",2.75
280,256,La Red,Black Mountain,70.0,"3- B,S,C",2.75
281,256,Carenero Superior,Black Mountain,70.0,"3- B,S,C",2.75
282,256,Matiguas,Black Mountain,70.0,"3- B,S,C",3.0
283,2574,"Cocoa Nibs, Hispaniola w/ nibs",Black Mountain,70.0,"4- B,S,C,L",3.75
284,1331,Blue Mountain Region,Black River (A. Morin),70.0,"4- B,S,C,L",2.75
285,2590,"Sierra Nevada, batch 92",Black Sheep,72.0,"3- B,S,C",3.25
286,2590,"Maya Mountain, batch 98",Black Sheep,72.0,"3- B,S,C",3.25
287,322,Organic Dark,Blanxart,72.0,"4- B,S,C,V",2.75
288,1046,"Congo, Grand Cru",Blanxart,82.0,"4- B,S,C,V",3.5
289,911,Guatemala,Blue Bandana,70.0,"3- B,S,C",3.5
290,911,Madagascar,Blue Bandana,70.0,"3- B,S,C",3.75
291,1740,"Akesson's E., Sambirano V.",Blue Bandana,82.0,"2- B,S",3.5
292,1752,Lachua,Blue Bandana,75.0,"2- B,S",2.75
293,1752,Kokoa Kamili,Blue Bandana,75.0,"2- B,S",3.5
294,1756,Zorzal Reserva,Blue Bandana,75.0,"2- B,S",3.0
295,1996,Maya Mtn,Boho,70.0,"3- B,S,C",2.75
296,2290,"Keningau, Borneo Island",Bonaterra,68.0,"2- B,S",2.5
297,2290,"Kota Marudu, Borneo Island",Bonaterra,72.0,"2- B,S",2.75
298,2290,"Tawau, Borneo Island",Bonaterra,74.0,"2- B,S",3.25
299,24,"Carribean, Trinite",Bonnat,75.0,"3- B,S,C",3.75
300,32,"Ocumare, Puerto Cabello",Bonnat,75.0,"3- B,S,C",3.75
301,48,"Maracaibo, El Rosario",Bonnat,75.0,"3- B,S,C",4.0
302,75,Madagascar,Bonnat,75.0,"3- B,S,C",3.75
303,81,One Hundred,Bonnat,100.0,"3- B,S,C",1.5
304,81,Ceylan,Bonnat,75.0,"3- B,S,C",3.0
305,81,Chuao,Bonnat,75.0,"3- B,S,C",4.0
306,123,Equateur,Bonnat,75.0,"3- B,S,C",2.5
307,199,"Porcelana, Venezuela",Bonnat,75.0,"3- B,S,C",4.0
308,331,Ivory Coast,Bonnat,75.0,"3- B,S,C",3.0
309,336,"Porcelana, Apotequil",Bonnat,75.0,"3- B,S,C",2.75
310,336,"Porcelana, Tabasco, Marfil de Blanco",Bonnat,75.0,"3- B,S,C",3.0
311,395,"Xoconusco, cacao Real",Bonnat,75.0,"3- B,S,C",3.0
312,629,Cuba,Bonnat,75.0,"3- B,S,C",3.5
313,629,"Cusco, Cacao Cusco",Bonnat,75.0,"3- B,S,C",3.5
314,629,Piura Blanco,Bonnat,75.0,"3- B,S,C",3.5
315,629,Libanio,Bonnat,75.0,"3- B,S,C",3.75
316,629,Haiti,Bonnat,75.0,"3- B,S,C",4.0
317,629,"Madagascar, 100% criollo",Bonnat,75.0,"3- B,S,C",4.0
318,672,Juliana,Bonnat,75.0,"3- B,S,C",3.5
319,761,Jamaique,Bonnat,75.0,"3- B,S,C",3.25
320,1038,Maragnam,Bonnat,75.0,"3- B,S,C",3.5
321,1042,Gabon,Bonnat,75.0,"3- B,S,C",3.25
322,1339,Kaori,Bonnat,75.0,"3- B,S,C",4.0
323,1418,"Los Colorados, Santo Domingo, Equateur",Bonnat,75.0,"3- B,S,C",3.25
324,1418,"Surfin, Venez,Africa,Brasil,Peru,Mex",Bonnat,65.0,"3- B,S,C",3.75
325,1912,Selva Maya,Bonnat,75.0,"3- B,S,C",3.5
326,2246,Madre de Dios,Bonnat,75.0,"3- B,S,C",4.0
327,2250,"El Rosario, Xoconuzco, Cusco, Sambirano",Bonnat,75.0,"3- B,S,C",4.0
328,2554,"El Castillero, Indio Maiz",Bonnat,75.0,"3- B,S,C",3.75
329,316,"El Oro, Hacienda de Oro",Bouga Cacao (Tulicorp),77.0,"2- B,S",3.25
330,341,"El Oro, Hacienda de Oro",Bouga Cacao (Tulicorp),100.0,"3- B,S,C",1.5
331,1267,Maya Mountain,Bowler Man,70.0,"3- B,S,C",2.75
332,1271,Conacado,Bowler Man,70.0,"3- B,S,C",2.75
