,REF,bar_name,company,cocoa_%,ingredients,rating
699,2602,"Anamalai, 2019 H., batch 1, nutmeg fermentation",Dandelion,70.0,"2- B,S",3.25
700,654,Dominican Republic,Dandelion (aka Brower Ave),70.0,"2- B,S",3.25
701,654,Madagascar,Dandelion (aka Brower Ave),70.0,"2- B,S",3.25
702,654,Tanzania,Dandelion (aka Brower Ave),70.0,"2- B,S",3.25
703,2550,"Zorzal Estate, 2017 h.",Dandelion (Japan),70.0,"2- B,S",3.0
704,423,Las Acacias E.,Danta,75.0,"4- B,S,C,V",3.0
705,423,Las Acacias E.,Danta,60.0,"4- B,S,C,V",3.25
706,661,Los Ujuxtes,Danta,60.0,"4- B,S,C,V",3.5
707,987,Chuao,Danta,75.0,"4- B,S,C,V",3.0
708,987,Los Ujuxtes,Danta,70.0,"2- B,S",3.75
709,987,Sambirano,Danta,70.0,"2- B,S",3.75
710,987,Las Acacias E.,Danta,70.0,"2- B,S",4.0
711,991,"Oscuro, Finca Chimelb",Danta,70.0,"2- B,S",3.25
712,1223,Los Ujuxtes,Danta,82.0,"4- B,S,C,V",3.25
713,1920,"Venezuela, batch 122",DAR,72.0,"2- B,S",2.75
714,1920,Vietnam,DAR,72.0,"2- B,S",3.0
715,1920,"DUO, batch 002, Ecuador, Costa Rica",DAR,70.0,"2- B,S",3.25
716,2342,Piura,Darcis,72.0,"4- B,S,C,L",3.0
717,2342,Mekong Delta,Darcis,70.0,"4- B,S,C,L",3.25
718,1550,Madagascar,Dark Forest,70.0,"3- B,S,C",3.0
719,1550,Ocumare,Dark Forest,70.0,"3- B,S,C",3.25
720,1554,Tanzania,Dark Forest,70.0,"3- B,S,C",3.0
721,1554,Ecuador,Dark Forest,70.0,"3- B,S,C",3.25
722,1708,Bolivia,Dark Forest,75.0,"3- B,S,C",3.25
723,907,West Africa,Davis,58.0,"4- B,S,C,L",3.25
724,1093,Ghana,Davis,70.0,"4- B,S,C,L",2.5
725,1093,Rainforest,Davis,70.0,"4- B,S,C,L",2.75
726,1093,Venezuela,Davis,70.0,"4- B,S,C,L",2.75
727,1462,"Nativo, Varzea",De Mendes,72.0,"3- B,S,C",3.5
728,1462,"Selvagem, Jari",De Mendes,65.0,"3- B,S,C",3.5
729,1832,Bundibugyo District,De Villiers,70.0,"3- B,S,C",2.5
730,1832,"Sambirano Valley, batch 2477",De Villiers,70.0,"3- B,S,C",3.0
731,170,Madagascar,Dean and Deluca (Belcolade),66.0,"4- B,S,C,V",2.5
732,175,Costa Rica,Dean and Deluca (Belcolade),64.0,"4- B,S,C,V",3.0
733,175,Ecuador,Dean and Deluca (Belcolade),71.0,"4- B,S,C,V",3.0
734,175,Ghana,Dean and Deluca (Belcolade),60.0,"4- B,S,C,V",3.0
735,180,Papua New Guinea,Dean and Deluca (Belcolade),64.0,"4- B,S,C,V",3.0
736,180,Peru,Dean and Deluca (Belcolade),64.0,"4- B,S,C,V",3.0
737,263,Venezuela,Debauve & Gallais (Michel Cluizel),66.0,"4- B,S,C,V",3.75
738,423,Papua New Guinea,Debauve & Gallais (Michel Cluizel),64.0,"4- B,S,C,V",3.0
739,2222,Elvesia,Definite,70.0,"2- B,S",2.5
740,2222,Duarte Province,Definite,70.0,"2- B,S",2.5
741,2222,Duarte Province,Definite,80.0,"2- B,S",3.0
742,1916,"Kilombero, batch 41",Desbarres,72.0,"2- B,S",2.5
743,2422,"Monte Grande, batch 178",Desbarres,72.0,"2- B,S",3.0
744,166,Costa Rica,DeVries,77.0,"2- B,S",3.5
745,166,Dominican Republic,DeVries,77.0,"2- B,S",3.5
746,241,Bolivian,DeVries,80.0,"2- B,S",2.75
747,661,Sambirano,Dick Taylor,80.0,"2- B,S",2.75
748,682,Mantuano,Dick Taylor,75.0,"2- B,S",2.75
749,769,La Red,Dick Taylor,74.0,"2- B,S",3.0
750,769,Ecuador,Dick Taylor,70.0,"2- B,S",3.25
751,895,Bolivia,Dick Taylor,75.0,"2- B,S",2.75
752,1034,"Ecuador, Choc. Garage Exclusive",Dick Taylor,70.0,"2- B,S",3.25
753,1193,Camino Verde,Dick Taylor,76.0,"2- B,S",3.5
754,1235,Elvesia,Dick Taylor,74.0,"2- B,S",3.5
755,1634,"Alto Beni, Wild Harvest, Limited Ed.",Dick Taylor,70.0,"2- B,S",3.75
756,1864,Tien Giang,Dick Taylor,78.0,"2- B,S",3.5
757,1952,Lanquin Estate,Dick Taylor,70.0,"2- B,S",3.75
758,1972,"Fazenda Camboa, Bahia, batch 17009",Dick Taylor,75.0,"2- B,S",3.75
759,2016,"Solomon Is.,batch 17158, N.Vela",Dick Taylor,72.0,"2- B,S",4.0
760,2258,"Vanua Levu, Matasawalevu",Dick Taylor,80.0,"2- B,S",3.75
761,2270,"Maya Mtn, Toledo",Dick Taylor,72.0,"2- B,S",4.0
762,2434,"Akesson P., Sambirano",Dick Taylor,72.0,"2- B,S",3.75
763,2466,"Northerner, Madagascar and Brazil",Dick Taylor,73.0,"2- B,S",3.5
764,2554,"Bachelor's Hall, batch 20240",Dick Taylor,75.0,"2- B,S",3.75
765,2656,"Soconusco, Rayen Cacao Co-op, batch 21154",Dick Taylor,72.0,"2- B,S",4.0
766,2732,Madagascar,Didier Smeets,63.0,"3- B,S,C",3.0
767,2736,Peru,Didier Smeets,65.0,"3- B,S,C",2.75
768,2740,Vietnam,Didier Smeets,70.0,"3- B,S,C",2.75
769,2740,Bali,Didier Smeets,65.0,"3- B,S,C",2.5
770,2402,"Sao Tome, unroasted, batch UNR-18-003",Diogo Vaz,70.0,"4- B,S,C,L",2.75
771,2402,"Sao Tome, batch OST-18-01",Diogo Vaz,65.0,"4- B,S,C,L",3.0
772,2406,"Sao Tome, Grand Cru Plantation, amelonado",Diogo Vaz,75.0,"4- B,S,C,L",2.5
773,2406,"Sao Tome, batch TRI-18-002, trinitario",Diogo Vaz,75.0,"4- B,S,C,L",3.0
774,1371,"Panama, Raven",Doble & Bignall,72.0,"3- B,S,C",3.25
775,1371,"Puerto Cabello, Mantuano",Doble & Bignall,72.0,"3- B,S,C",3.25
776,1407,Johe,Doble & Bignall,72.0,"3- B,S,C",3.5
777,1688,Puerto Cabello,Doble & Bignall,85.0,"3- B,S,C",3.0
778,311,"O'ahu Island, N. Shore, Waialua Estate",Dole (Guittard),70.0,"3- B,S,C",3.75
779,63,Noir,Dolfin (Belcolade),70.0,"3- B,S,L",1.5
780,304,"Africa, West Africa",Dolfin (Belcolade),88.0,"3- B,S,L",3.0
781,87,Sur del Lago Classificado,Domori,70.0,"2- B,S",3.0
782,87,Apurimac,Domori,70.0,"2- B,S",3.25
783,87,Carenero Superior,Domori,70.0,"2- B,S",3.5
784,111,Porcelana,Domori,70.0,"2- B,S",4.0
785,129,"Ocumare 61, Puertomar",Domori,75.0,"2- B,S",3.25
786,135,Granella,Domori,60.0,"2- B,S",3.25
787,135,Madagascar,Domori,70.0,"2- B,S",3.5
788,192,Madagared,Domori,70.0,"2- B,S",3.5
789,192,"Java, Javablond",Domori,70.0,"2- B,S",3.75
790,192,Ecuador,Domori,70.0,"2- B,S",4.0
791,192,"Ocumare 67, Puertofino",Domori,70.0,"2- B,S",4.0
792,227,"Carupano, H. San Jose",Domori,70.0,"2- B,S",3.0
793,272,Teyuna,Domori,70.0,"2- B,S",3.0
794,272,Blend No. 1,Domori,78.0,"2- B,S",3.5
795,272,Ilblend,Domori,70.0,"2- B,S",3.75
796,470,"Chuao, Hacienda San Jose",Domori,70.0,"2- B,S",3.0
797,693,"Canoabo, Hacienda San Jose",Domori,70.0,"2- B,S",3.5
798,863,Morogoro,Domori,70.0,"2- B,S",3.5
799,863,Guasare,Domori,70.0,"2- B,S",3.75
800,1109,"IL100, H. San Jose, batch NDL3A01",Domori,100.0,"3- B,S,C",3.0
801,1672,Hacienda Victoria,Domori,70.0,"2- B,S",3.75
802,1672,Ocumare 77,Domori,70.0,"2- B,S",3.75
803,2040,Tanzania,Domori,70.0,"2- B,S",4.0
804,2748,Brazil,Domori,70.0,"2- B,S",3.5
805,1672,"Rio Caribe, Batch 7",Dormouse,70.0,"3- B,S,C",2.5
806,1676,"Colombia, Batch 9",Dormouse,80.0,"3- B,S,C",2.75
807,1676,"Madagascar, Batch 8",Dormouse,77.0,"3- B,S,C",2.75
808,1880,Non Pariel Estate,Dormouse,75.0,"3- B,S*,C",2.75
809,2052,"Kablon Farm, batch 242",Dormouse,71.5,"3- B,S*,C",2.75
810,2052,"Verapaz, batch 254",Dormouse,72.0,"3- B,S*,C",3.5
811,2096,"Piura, batch 274",Dormouse,80.0,"2- B,S*",3.5
812,2696,"Trio Reserve, 2020 h. batch D002",Dormouse,78.0,"3- B,S,C",3.25
813,2390,Oko Caribe,Double Spiral,75.0,"2- B,S",2.5
814,2390,Kokoa Kamili,Double Spiral,70.0,"2- B,S",2.75
815,2390,Hispaniola,Double Spiral,75.0,"2- B,S",3.0
816,2752,"Zorzal, Cibao, San Francisco de Macoris",Ducrey,70.0,"2- B,S",3.25
817,2752,"O'Payo, Wasalala Co-op",Ducrey,75.0,"2- B,S",2.75
818,2752,Pisa,Ducrey,70.0,"2- B,S",3.25
819,516,Panama,Duffy's,70.0,"3- B,S,C",3.5
820,516,"Corazon del Ecuador, Calceta beans",Duffy's,72.0,"3- B,S,C",3.75
821,523,Star of Ecuador,Duffy's,70.0,"3- B,S,C",2.5
822,523,Star of Peru,Duffy's,70.0,"3- B,S,C",3.75
823,623,"Indio Rojo, Xoco",Duffy's,72.0,"3- B,S,C",3.75
824,661,Dominican Republic,Duffy's,65.0,"3- B,S,C",3.5
825,697,"Bocas del Toro, Tierra Oscura",Duffy's,72.0,"3- B,S,C",3.0
826,697,"Nicaliso, Xoco",Duffy's,71.0,"3- B,S,C",3.25
827,765,Ocumare,Duffy's,71.0,"3- B,S,C",3.5
828,923,Ocumare,Duffy's,72.0,"3- B,S,C",3.75
829,1331,"Chuno, Xoco",Duffy's,70.0,"4- B,S,C,L",3.5
830,1331,"Rico Rugoso, Xoco",Duffy's,76.0,"4- B,S,C,L",3.75
831,1662,"Rio Dulce, Xoco",Duffy's,70.0,"4- B,S,C,L",4.0
832,1964,Eti-Oni,Duffy's,70.0,"4- B,S,C,L",2.75
833,2100,Mayan Red,Duffy's,80.0,"4- B,S,C,L",3.25
834,2366,South Cotabato,Duffy's,70.0,"4- B,S,C,L",3.5
835,2648,"Juno, batch 201006",Duffy's,70.0,"4- B,S,C,L",3.5
836,1506,"Dominican Republic, batch 1507",Dulcinea,70.0,"2- B,S",3.25
837,841,Madagascar,Durand,82.0,"3- B,S,C",2.75
838,1626,"Maranon, Joya Rara",Durci,70.0,"3- B,S,C",3.5
839,1626,"Rio Caribe, Tepui Treasure",Durci,70.0,"3- B,S,C",3.5
840,1630,Taino Secret,Durci,70.0,"3- B,S,C",3.25
841,1630,"Carenero, Empyrean Sabor",Durci,70.0,"3- B,S,C",3.25
842,1630,Corona Arriba,Durci,70.0,"3- B,S,C",4.0
843,2040,Piura Blanco,Durci,70.0,"3- B,S,C",4.0
844,2744,Zorzal,DWAAR,70.0,"3- B,S,C",3.0
845,1343,"Peru, batch P116",East Van Roasters,70.0,"3- B,S,C",3.25
846,1343,"Madagascar, batch M132",East Van Roasters,70.0,"3- B,S,C",3.5
847,1343,"Dominican Republic, batch DR113",East Van Roasters,70.0,"3- B,S,C",3.75
848,1812,Tumaco,Eau de Rose,70.0,"3- B,S,C",3.25
849,1812,Arauca,Eau de Rose,70.0,"3- B,S,C",3.25
850,919,"Maranon, Good & Evil, w/ nibs",Eclat (Felchlin),72.0,"3- B,S,C",2.75
851,2358,"NOE, nacional/criollo, batch 1",Eclat (Fruition),80.0,"2- B,S",3.5
852,1876,Porcelana,Edelmond,68.0,"2- B,S",3.0
853,2534,"Akessons, Sambirano Valley",El Buen,70.0,"2- B,S",3.0
854,2534,Tumaco,El Buen,70.0,"2- B,S",3.0
855,252,Alto Beni,El Ceibo,71.0,"4- B,S,C,L",2.75
856,709,"Alto Beni, Covendo Region",El Ceibo,75.0,"4- B,S,C,L",3.75
857,32,"Carenero Superior, Gran Saman",El Rey,70.0,"5- B,S,C,V,L",2.75
858,206,"Carenero Superior, Apamate",El Rey,74.0,"5- B,S,C,V,L",2.5
859,206,"Carenero Superior, Bucare",El Rey,58.0,"5- B,S,C,V,L",2.5
860,206,"Carenero Superior, Mijao",El Rey,61.0,"5- B,S,C,V,L",3.0
861,439,"Rio Caribe, Cariaco",El Rey,60.5,"5- B,S,C,V,L",2.75
862,439,"Rio Caribe, Macuro",El Rey,70.0,"5- B,S,C,V,L",3.0
863,1662,San Joaquin,El Rey,70.0,"5- B,S,C,V,L",3.75
864,2382,"Polochic, batch 711",Eldora,70.0,"3- B,S,C",3.5
865,2724,"Kokoa Kamili, 2020 harvest, batch 1574",Eldora,70.0,"3- B,S,C",3.5
866,2724,"Lazan'ny, 2019 harvest, batch 1547",Eldora,70.0,"3- B,S,C",3.25
867,2728,"Maya Mtn., 2019 harvest, batch 1573",Eldora,70.0,"3- B,S,C",3.5
868,2728,"Puerto Quito, 2021 harvest, batch 1560",Eldora,70.0,"3- B,S,C",3.0
869,2728,"Zorzal, 2021 harvest, batch 1549",Eldora,70.0,"3- B,S,C",3.0
870,2728,"Semuliki, 2019 harvest, batch 1575",Eldora,70.0,"3- B,S,C",3.75
871,1137,Emerald Estate,Emerald Estate,60.0,"2- B,S",2.75
872,1137,Emerald Estate,Emerald Estate,70.0,"2- B,S",3.25
873,1450,Patanemo,Emily's,79.0,"3- B,S,C",3.0
874,1454,Peru,Emily's,78.0,"3- B,S,C",3.5
875,2108,Pisa w/ nibs,Encuentro,70.0,"2- B,S",3.5
876,2108,Asochivite,Encuentro,70.0,"2- B,S",3.5
877,2114,Oko Caribe,Encuentro,70.0,"2- B,S",3.25
878,2118,Bejofo,Encuentro,70.0,"2- B,S",3.5
879,1916,"Wampusirpi, batch 007",ENNA,75.0,"2- B,S",3.25
880,2198,"Ben Tre, batch 77",ENNA,72.0,"2- B,S",3.0
881,2350,Gola Rainforest,ENNA,70.0,"3- B,S,C",2.5
882,2350,Kokoa Kamili,ENNA,80.0,"3- B,S,C",3.0
883,2350,"Maiden Voyage Estate, Herbert Pasqual",ENNA,72.0,"3- B,S,C",3.5
884,565,"Terreiro Velho P., Sao Tome & Principe",Enric Rovira (Claudio Corallo),80.0,"3- B,S,C",3.25
885,1205,Ben Tre,Erithaj (A. Morin),70.0,"3- B,S,C",3.25
886,1209,Ham Luong,Erithaj (A. Morin),80.0,"3- B,S,C",3.0
887,1209,"Ba Lai, Mekong Delta",Erithaj (A. Morin),74.0,"3- B,S,C",3.25
888,252,Ocumare,Escazu,72.0,"4- B,S,C,V",3.0
889,414,Guapiles,Escazu,65.0,"4- B,S,C,V",2.0
890,423,Carenero Superior,Escazu,81.0,"4- B,S,C,V",3.5
891,431,"Carenero, Guapiles, Ocumare blend",Escazu,74.0,"4- B,S,C,V",2.75
892,903,Rio Caribe,Escazu,70.0,"4- B,S,C,V",2.75
893,2570,"Roasted Cocoa Nibs, Latin America Blend, b.060321",Escazu,65.0,"3- B,S,C",3.0
894,2570,"Arhuacos, Sierra Nevada, batch 060221",Escazu,70.0,"2- B,S",3.5
895,666,"Peru, Madagascar",Ethel's Artisan (Mars),55.0,"4- B,S,C,V",2.5
896,666,Trinidad,Ethel's Artisan (Mars),55.0,"4- B,S,C,V",2.5
897,666,Porcelana,Ethel's Artisan (Mars),70.0,"4- B,S,C,V",2.5
898,666,Red Vanilla,Ethel's Artisan (Mars),62.0,"4- B,S,C,V",2.75
899,672,"Venezuela, Trinidad",Ethel's Artisan (Mars),62.0,"4- B,S,C,V",2.5
900,1275,Belize,Ethereal,80.0,"3- B,S,C",3.0
901,1275,Ecuador,Ethereal,80.0,"3- B,S,C",3.5
902,1275,Dominican Republic,Ethereal,80.0,"3- B,S,C",3.75
903,2142,Guatemala,Ethereal,80.0,"3- B,S,C",3.5
904,2664,Uganda,Ethereal,70.0,"3- B,S,C",3.0
905,2450,"Maranon, Fortunato",Exquisito,73.0,"3- B,S,C",3.0
906,565,"Monte Alegre, D. Badaro, Raw, Organic",Fearless (AMMA),75.0,"2- B,S",2.75
907,1732,Blue Mountain,Feitoria Cacao,76.0,"2- B,S",3.0
908,1736,Cuyagua,Feitoria Cacao,76.0,"2- B,S",2.5
909,1736,Maya Mountain,Feitoria Cacao,76.0,"2- B,S",2.75
910,48,"Madagascar, Grand Cru",Felchlin,64.0,"5- B,S,C,V,L",3.0
911,48,Maracaibo Clasificado,Felchlin,65.0,"5- B,S,C,V,L",3.0
912,48,Arriba,Felchlin,72.0,"5- B,S,C,V,L",3.5
913,56,"Alto Beni, Cru Savage",Felchlin,68.0,"5- B,S,C,V,L",4.0
914,105,Supremo- SF,Felchlin,62.0,"5- B,S,C,V,L",2.0
915,105,Elvesia P.,Felchlin,74.0,"5- B,S,C,V,L",3.0
916,494,Grenada,Felchlin,58.0,"5- B,S,C,V,L",3.5
917,1283,Puerto Rico,Finca,65.0,"3- B,S,C",2.25
918,1283,Dominican Republic,Finca,80.0,"3- B,S,C",3.0
919,1283,Dominican Republic,Finca,70.0,"3- B,S,C",3.25
920,1287,Dominican Republic,Finca,85.0,"3- B,S,C",2.5
921,2474,Honduras,Finnia,70.0,"3- B,S,C",2.75
922,2478,Mexico,Finnia,70.0,"3- B,S,C",3.0
923,2482,"Chigorodo, batch 001",Finnia,70.0,"3- B,S,C",2.75
924,2486,"Ucayali (Peru), Papua New G., Tabasco (Mexico)",Finnia,70.0,"3- B,S,C",3.25
925,2394,Karkar Island,Firetree,72.0,"4- B,S,C,L",3.5
926,2398,Mindanao Island,Firetree,73.0,"4- B,S,C,L",3.25
927,2398,Guadalcanal,Firetree,69.0,"4- B,S,C,L",3.5
928,2398,Malekula Island,Firetree,72.0,"4- B,S,C,L",3.75
929,2150,"Oko Caribe, San Fran. De Mac.,batch A",Five (5)Mile,75.0,"2- B,S",3.5
930,2154,"Maya Mtn, batch 7C",Five (5)Mile,75.0,"2- B,S",2.75
931,2154,"Monte Grande, batch 18",Five (5)Mile,75.0,"2- B,S",2.75
932,2154,"Tumaco, batch 23abc",Five (5)Mile,75.0,"2- B,S",3.0
933,2202,Bejofo,FJAK,70.0,"3- B,S,C",3.0
934,2206,Goground,FJAK,68.0,"3- B,S,C",3.5
935,2206,Kokoa Kamili,FJAK,70.0,"3- B,S,C",3.5
936,1267,Rio Eni,Forever Cacao,72.0,"3- B,S*,C",2.75
937,1776,Dominican Republic,Forteza (Cortes),70.0,"6- B,S,C,V,L,Sa",2.75
938,1776,Puerto Rico,Forteza (Cortes),80.0,"6- B,S,C,V,L,Sa",2.75
939,1772,"Akesson's E., Sambirano V.",Fossa,70.0,"2- B,S",2.75
940,1776,"Camino Verde P., Balao, Guayas",Fossa,75.0,"2- B,S",3.5
941,1776,"Kokoa Kamili Coop, Kilombero",Fossa,67.0,"2- B,S",3.75
942,2072,Alto Beni,Fossa,70.0,"2- B,S",3.0
943,2072,"Pak Eddy Farm, Yogyakarta Region",Fossa,70.0,"2- B,S",3.0
944,2072,Davao,Fossa,70.0,"2- B,S",3.25
945,2072,Pisa,Fossa,68.0,"2- B,S",3.5
946,2076,Oko Caribe,Fossa,72.0,"2- B,S",2.75
947,2430,"Finca La Rioja E., Cacahoatan, Chiapas, microlot",Fossa,70.0,"2- B,S",3.0
948,2430,"Ottange Farm, Mava Plantation, Sambirano",Fossa,70.0,"2- B,S",3.5
949,2712,"Burang, Popayato-Paquat microlot, Goranulo Province",Fossa,72.0,"2- B,S",3.5
950,2712,"Semai Community, Kamping Long B, Pahang",Fossa,72.0,"2- B,S",3.5
951,2318,"Kulkul P., Karkar Island, 2018 h., batch PK019",Foundry,70.0,"2- B,S",3.0
952,2318,"Kilombero Valley, 2017 h., batch TK020",Foundry,70.0,"2- B,S",3.25
953,2322,"Alto Beni, 2017 h.",Foundry,70.0,"2- B,S",3.0
954,2322,"Masidau Farm, batch VM021",Foundry,70.0,"2- B,S",3.0
955,2322,"Tumaco, 2017 h., batch U022",Foundry,70.0,"2- B,S",3.0
956,2322,"Camino Verde, 2017 h., batch EC019",Foundry,70.0,"2- B,S",3.75
957,2326,"Ucayali, 2017 h., batch PU024",Foundry,70.0,"2- B,S",3.75
958,911,Canoabo,Franceschi,70.0,"3- B,S,C",3.75
959,915,Sur del Lago,Franceschi,60.0,"3- B,S,C",3.5
960,1355,"Choroni, batch 210414",Franceschi,70.0,"3- B,S,C",3.5
961,1355,"Ocumare, batch 210414",Franceschi,70.0,"3- B,S,C",3.75
962,2044,Rio Caribe,Franceschi,60.0,"4- B,S,C,L",2.5
963,2100,"Sur del Lago, Zulia",Franceschi,70.0,"3- B,S,C",3.0
964,2100,"Carenero, Miranda",Franceschi,70.0,"3- B,S,C",3.25
965,2118,"Cuyagua, batch 4, lot DC2.3",Franceschi,72.0,"2- B,S",3.5
966,2122,"Chuao, batch 4, Lot DH17",Franceschi,85.0,"2- B,S",3.0
967,1351,Ghana,Frederic Blondeel,60.0,"4- B,S,C,L",3.5
968,1351,Madagascar,Frederic Blondeel,65.0,"4- B,S,C,L",3.5
969,1538,Costa Rica,Frederic Blondeel,70.0,"4- B,S,C,L",3.5
970,1538,Peru Brutus,Frederic Blondeel,75.0,"4- B,S,C,L",3.5
971,1542,Vietnam,Frederic Blondeel,80.0,"4- B,S,C,L",3.0
972,781,"Maranon Canyon, Fortunato No. 4",French Broad,70.0,"2- B,S",3.5
973,785,La Red,French Broad,65.0,"2- B,S",3.5
974,883,"Tumbes Coop, batch 120724M",French Broad,70.0,"2- B,S",2.5
975,883,"Palo Blanco, Chulucanas, b. 120725A",French Broad,66.0,"2- B,S*",3.5
976,887,"Palo Blanco w/ panela, Chulucanas, b. 120725A",French Broad,81.0,"2- B,S*",2.0
977,1042,"Palo Blanco, Chulucanas",French Broad,66.0,"2- B,S",3.5
978,1209,San Andres,French Broad,80.0,"2- B,S",3.0
979,1295,Matagalpa,French Broad,68.0,"2- B,S",3.25
980,1634,Guatemala,French Broad,73.0,"2- B,S",3.5
981,1940,"Norandino, batch 161208",French Broad,70.0,"2- B,S",3.5
982,2430,"Animalai, batch 1063",French Broad,71.0,"3- B,S,C",3.25
983,370,"Jamaica, #204, DR, SC",Fresco,80.0,"3- B,S,C",2.75
984,370,"Jamaica, #206, DR, LC",Fresco,70.0,"3- B,S,C",3.0
985,370,"Jamaica, #205, DR, MC",Fresco,70.0,"3- B,S,C",3.25
986,370,"Carenero Superior, #203, MR, SC",Fresco,65.0,"3- B,S,C",3.5
987,636,"Ghana, #211, MR, MC",Fresco,74.0,"3- B,S,C",2.75
988,642,"Jamaica, #209, DR, SC",Fresco,70.0,"3- B,S,C",3.25
989,642,"Conacado, #212, LR, SC",Fresco,72.0,"3- B,S,C",3.5
990,642,"Jamaica, #210, DR, MC",Fresco,70.0,"3- B,S,C",3.5
991,682,"Sambirano Valley, #214, LR, MC",Fresco,74.0,"3- B,S,C",2.75
992,682,"Conacado, #213, DR, -C",Fresco,72.0,"3- B,S,C",3.25
993,688,"Sambirano Valley, #215, MR, MC",Fresco,74.0,"3- B,S,C",3.0
994,745,"Chuao, #218, MR, MC, batch 11-020",Fresco,76.0,"3- B,S,C",3.25
995,745,"Chuao, #217, DR, MC, batch 11-021",Fresco,70.0,"3- B,S,C",4.0
996,899,"Markham Valley, #219, LR, MC",Fresco,69.0,"2- B,S",3.5
997,899,"Markham Valley, #221, DR, MC",Fresco,69.0,"2- B,S",3.5
998,915,"Sambirano Valley, #216, MR, LC",Fresco,74.0,"3- B,S,C",4.0
999,927,"Markham Valley, #220, MR, MC",Fresco,69.0,"2- B,S",4.0
1000,931,"Markham Valley, #222, LR, 0C",Fresco,69.0,"2- B,S",3.0
1001,1030,"Conacado, #223, MR, SC, batch 13-051",Fresco,72.0,"3- B,S,C",3.25
1002,1081,"Conacado, #224, MR, MC, batch 13-061",Fresco,72.0,"3- B,S,C",3.75
1003,1117,"San Martin, Bellavista Coop, #226, DR, MC",Fresco,70.0,"3- B,S,C",3.75
1004,1149,"Bellavista Coop, #225, LR, MC, CG Exclusive",Fresco,70.0,"3- B,S,C",4.0
1005,1383,"Maranon, #228, MR, SC",Fresco,70.0,"3- B,S,C",3.0
1006,1383,"Maranon, #227, LR, MC",Fresco,70.0,"3- B,S,C",3.5
1007,1383,"Maranon, #229, MR, LC",Fresco,70.0,"3- B,S,C",3.5
1008,1387,"Maranon, #230, DR, LC",Fresco,70.0,"3- B,S,C",3.5
1009,2024,"Polochic Valley, LR, LC, batch 17-203",Fresco,70.0,"3- B,S,C",3.5
1010,2024,"Polochic Valley, MR, LC, batch 17-189",Fresco,70.0,"3- B,S,C",3.75
1011,2028,"Polochic Valley, DR, LC, batch 17-201",Fresco,70.0,"3- B,S,C",3.5
1012,2174,"Chuao, MR, SC, batch 18-224",Fresco,72.0,"3- B,S,C",3.25
1013,2174,Carupano Pintao,Fresco,72.0,"3- B,S,C",3.5
1014,2642,"ABOCFA, #260, LR-SC, batch 20-335",Fresco,68.0,"3- B,S,C",3.25
1015,2642,"ABOCFA, #261, DR-MC, batch 21-448",Fresco,68.0,"3- B,S,C",3.5
1016,2644,"O'Payo Profundo, Waslala, MR-MC, #271, b. 21-431",Fresco,70.0,"3- B,S,C",3.5
1017,2644,"O'Payo Profundo, Waslala, DR-LC, #271, b. 21-433",Fresco,70.0,"3- B,S,C",3.75
1018,2644,"Chuao Village, BR-SC, batch 21-437",Fresco,68.0,"3- B,S,C",4.0
1019,2704,"Sambirano V., #290, MR MC, batch 21-454",Fresco,70.0,"3- B,S,C",3.5
1020,2708,"Lamas, Oro Verde, #280, MR 0C, batch 21-457",Fresco,74.0,"3- B,S,C",3.0
1021,2708,"Lamas, Oro Verde, #282, DR MC, batch 21-451",Fresco,74.0,"3- B,S,C",3.25
1022,2000,"Fazenda Camboa, Bahia",Fresh Coast,70.0,"2- B,S",3.5
1023,2000,"Kokoa Kamili, Kilombero District",Fresh Coast,70.0,"2- B,S",3.75
1024,1375,Belize,Fresh Coast aka Just Good Choc.,70.0,"2- B,S",3.5
1025,1375,Madagascar,Fresh Coast aka Just Good Choc.,70.0,"2- B,S",3.5
1026,1375,Peru,Fresh Coast aka Just Good Choc.,70.0,"2- B,S",4.0
1027,1912,"Rugoso, Bad Fermentation",Friis Holm,70.0,"2- B,S",3.5
1028,1956,Barba,Friis Holm,70.0,"3- B,S,C",3.75
1029,2122,"O'Payo, Wasalala Co-op",Friis Holm,68.0,"3- B,S,C",3.5
1030,2122,Johe,Friis Holm,70.0,"3- B,S,C",3.75
1031,2126,"La Dalia, Lazy Growers Blend",Friis Holm,60.0,"3- B,S,C",3.0
1032,2126,"La Dalia, Lazy Growers Blend",Friis Holm,70.0,"3- B,S,C",3.25
1033,2126,Medagla,Friis Holm,70.0,"3- B,S,C",3.75
1034,2126,Indio Rojo,Friis Holm,70.0,"3- B,S,C",4.0
1035,2130,"Chuno, 2x turned",Friis Holm,70.0,"3- B,S,C",3.0
1036,2130,"Chuno, 3x turned",Friis Holm,70.0,"3- B,S,C",3.5
1037,2130,Nicaliso,Friis Holm,70.0,"3- B,S,C",3.75
1038,2130,"Rugoso, Bad Fermentation",Friis Holm,70.0,"3- B,S,C",4.0
1039,2134,Rugoso,Friis Holm,70.0,"3- B,S,C",3.25
1040,2720,"Don Alfonso, North of El Castillo, single farm",Friis Holm,70.0,"3- B,S,C",3.5
1041,2720,"Bejofo, Akesson, slow dry",Friis Holm,64.0,"3- B,S,C",3.5
1042,2720,"Bejofo, Akesson, fast dry",Friis Holm,64.0,"3- B,S,C",3.75
1043,623,"Johe, Xoco",Friis Holm (Bonnat),70.0,"3- B,S,C",3.25
